date,equity,cash,positions,market_mode,daily_return,cummax,drawdown
2025-03-07,17862.605575561523,4593.38383102417,6,NEUTRAL,0.005463904534781294,18642.694709777832,-4.18442261894233
2025-03-10,17739.40881729126,17739.40881729126,0,RISK_OFF,-0.006896908614430486,18642.694709777832,-4.845253899978374
2025-03-11,17739.40881729126,17739.40881729126,0,RISK_OFF,0.0,18642.694709777832,-4.845253899978374
2025-03-12,17739.40881729126,17739.40881729126,0,RISK_OFF,0.0,18642.694709777832,-4.845253899978374
2025-03-13,17739.40881729126,17739.40881729126,0,RISK_OFF,0.0,18642.694709777832,-4.845253899978374
2025-03-14,17739.40881729126,17739.40881729126,0,RISK_OFF,0.0,18642.694709777832,-4.845253899978374
2025-03-17,17739.40881729126,17739.40881729126,0,RISK_OFF,0.0,18642.694709777832,-4.845253899978374
2025-03-18,17739.40881729126,17739.40881729126,0,RISK_OFF,0.0,18642.694709777832,-4.845253899978374
2025-03-19,17739.40881729126,17739.40881729126,0,RISK_OFF,0.0,18642.694709777832,-4.845253899978374
2025-03-20,17739.40881729126,17739.40881729126,0,RISK_OFF,0.0,18642.694709777832,-4.845253899978374
2025-03-21,17739.40881729126,17739.40881729126,0,RISK_OFF,0.0,18642.694709777832,-4.845253899978374
2025-03-24,17739.40881729126,395.9272041320801,8,NEUTRAL,0.0,18642.694709777832,-4.845253899978374
2025-03-25,17702.10873413086,395.9272041320801,8,NEUTRAL,-0.0021026677689530704,18642.694709777832,-5.045332717665807
2025-03-26,17696.92568206787,395.9272041320801,8,NEUTRAL,-0.0002927929175463584,18642.694709777832,-5.073134771734034
2025-03-27,17646.835498809814,395.9272041320801,8,NEUTRAL,-0.0028304454772510867,18642.694709777832,-5.341820088088999
2025-03-28,17455.53653717041,2463.46626663208,7,NEUTRAL,-0.010840411679040485,18642.694709777832,-6.367953727122799
2025-03-31,17613.49588394165,407.4885902404785,8,NEUTRAL,0.009049240419214621,18642.694709777832,-5.520654829456506
2025-04-01,17613.59882736206,407.4885902404785,8,NEUTRAL,5.844576288938086e-06,18642.694709777832,-5.520102637715918
2025-04-02,17700.25400161743,407.4885902404785,8,NEUTRAL,0.004919788119663204,18642.694709777832,-5.0552815611259465
2025-04-03,17129.099681854248,8509.941234588623,4,NEUTRAL,-0.03226814257642807,18642.694709777832,-8.118971272590358
2025-04-04,16699.415771484375,16699.415771484375,0,NEUTRAL,-0.025085025970457697,18642.694709777832,-10.423809264409801
2025-04-07,16699.415771484375,16699.415771484375,0,RISK_OFF,0.0,18642.694709777832,-10.423809264409801
2025-04-08,16699.415771484375,16699.415771484375,0,RISK_OFF,0.0,18642.694709777832,-10.423809264409801
2025-04-09,16699.415771484375,16699.415771484375,0,RISK_OFF,0.0,18642.694709777832,-10.423809264409801
2025-04-10,16699.415771484375,16699.415771484375,0,RISK_OFF,0.0,18642.694709777832,-10.423809264409801
2025-04-11,16699.415771484375,16699.415771484375,0,RISK_OFF,0.0,18642.694709777832,-10.423809264409801
2025-04-14,16699.415771484375,373.3685111999512,8,NEUTRAL,0.0,18642.694709777832,-10.423809264409801
2025-04-15,16677.794872283936,373.3685111999512,8,NEUTRAL,-0.0012947099165803166,18642.694709777832,-10.539784446844658
2025-04-16,16401.93395614624,4325.554805755615,6,NEUTRAL,-0.016540610929094424,18642.694709777832,-12.019511065942334
2025-04-17,16526.716762542725,4325.554805755615,6,NEUTRAL,0.007607810562468842,18642.694709777832,-11.350172172938644
2025-04-21,16281.945114135742,16281.945114135742,0,RISK_OFF,-0.014810663964529791,18642.694709777832,-12.663134983398672
2025-04-22,16281.945114135742,16281.945114135742,0,RISK_OFF,0.0,18642.694709777832,-12.663134983398672
2025-04-23,16281.945114135742,16281.945114135742,0,RISK_OFF,0.0,18642.694709777832,-12.663134983398672
2025-04-24,16281.945114135742,16281.945114135742,0,RISK_OFF,0.0,18642.694709777832,-12.663134983398672
2025-04-25,16281.945114135742,16281.945114135742,0,RISK_OFF,0.0,18642.694709777832,-12.663134983398672
2025-04-28,16281.945114135742,519.9207458496094,8,NEUTRAL,0.0,18642.694709777832,-12.663134983398672
2025-04-29,16400.765602111816,519.9207458496094,8,NEUTRAL,0.00729768385430285,18642.694709777832,-12.025778153681587
2025-04-30,16422.55699157715,519.9207458496094,8,NEUTRAL,0.0013286812331814168,18642.694709777832,-11.908888456110656
2025-05-01,16479.90086364746,519.9207458496094,8,NEUTRAL,0.0034917748861960085,18642.694709777832,-11.601294125124607
2025-05-02,16702.8978805542,519.9207458496094,8,NEUTRAL,0.013531453784327185,18642.694709777832,-10.4051311219844
2025-05-05,16654.440856933594,526.0621871948242,8,RISK_ON,-0.0029011147626676337,18642.694709777832,-10.665056118745685
2025-05-06,16587.493339538574,526.0621871948242,8,RISK_ON,-0.004019799762124632,18642.694709777832,-11.024164704908957
